ISBN,ISBN10,UPC,BTKey,OCLC_Number,Title,Sub-Title,Author-Artist,Pub-Code,Publisher,List-Price,Net-Price,Pub-Date,Pub-Stat,Product-Line,Physical-Format,Binding/Format,Edition-Number,Edition,Attributes,AV-Attributes,Genre,LCCN,Dewey,LC-Class,BISAC-Code,Cart-Name,Cart-Status,PO-Number,Cart-Notes,SubmittedDate,Qty-Ordered,Qty-Confirmed,Qty-Backordered,Qty-Canceled,PO-Line-Number,Bib-Number,Line-Notes,Member-Code,Item-Type,Collection-Code,Call-Number,Grid-Qty,GridSeq0,GridSeq1,GridSeq2,GridSeq3,GridSeq4,GridSeq5,GridSeq6,GridSeq7,GridSeq8,GridSeq9
9.78198E+12,1982163305,,28990890,,All the Beauty in the World,The Metropolitan Museum of Art and Me,"Bringley, Patrick",SIMON,Simon & Schuster,$28.99 ,$28.99 ,2/14/2023,,BOOK,Hardcover,HRD,,,,,,2022948056,708.147/1,N610 .B75 2023,BIO026000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"request 2017014, 1007552
708 BRI",,,,,,,,,,,,,,,
9.78152E+12,1524887838,,31901176,,Attack of the Cheez Funk Breath,,"Peirce, Lincoln",ANDMJ,Andrews McMeel Pub,$12.99 ,$7.73 ,3/11/2025,,BOOK,Paperback,PAP,,,,,,bl2025041335,741.5/6973,PZ7.7.P39 BEAT 2025,JUV008110,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"add copy 195487
J GN PEIRC",,,,,,,,,,,,,,,
9.78059E+12,059385232X,,32014282,,Audition,,"Kitamura, Katie",PENGU,Penguin Group USA,$28.00 ,$15.06 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2024042072,813/.6,PS3611.I877 A93 2025,FIC025000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F KITAM,,,,,,,,,,,,,,,
9.78006E+12,62894544,,25671663,,Becoming Brianna,,"Libenson, Terri",HARJU,Harpercollins Childrens Books,$23.99 ,$12.91 ,5/5/2020,,BOOK,Hardcover,HRD,,,,,,bl2020009692,741.5/973,PZ7.7.L52 BEC 2020,JUV008110,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"add copy 175526
J GN LIBEN",,,,,,,,,,,,,,,
9.78167E+12,1668046466,,31917344,,Big Chief,,"Hickey, Jon",SIMON,Simon & Schuster,$28.99 ,$15.60 ,4/8/2025,,BOOK,Hardcover,HRD,,,,,,2024041696,813/.6,PS3608.I2753 B54 2025,FIC059000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F HICKE,,,,,,,,,,,,,,,
9.78173E+12,1728281571,,31868839,,Blood on Her Tongue,,"Van Veen, Johanna",SOUBO,Sourcebooks Inc,$17.99 ,$10.70 ,3/25/2025,NP,BOOK,Paperback,PAP,,Special,,,,2024039368,823/.92,PR9130.9.V44 B56 2025,FIC027040,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,F VANVE request 2014131,,,,,,,,,,,,,,,
9.78059E+12,593888936,,32014279,,Bluey Fairytale,,"Brumm, Joe",PENGJ,Penguin Group USA,$18.99 ,$10.22 ,4/8/2025,,BOOK,Hardcover,HRD,,Media Tie In,,,,bl2025043941,E,PZ7.1.B805 F34 2025,JUV002070,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,E BLUEY,,,,,,,,,,,,,,,
9.78082E+12,082345570X,,31742979,,A Book of Maps for You,,"Heuer, Lourdes",CANWP,Candlewick Pr,$18.99 ,$10.22 ,4/8/2025,,BOOK,Hardcover,HRD,,,,,,2023052889,E,PZ7.1.H535 BO 2025,JUV039090,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,E HEUER,,,,,,,,,,,,,,,
9.78059E+12,593437977,,32014302,,The Book That Held Her Heart,,"Lawrence, Mark",PENGU,Penguin Group USA,$30.00 ,$16.14 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2024035598,813/.6,PS3612.A9484 B65 2025,FIC009020,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F LAWRE,,,,,,,,,,,,,,,
9.78059E+12,593706846,,32014551,,Cats in Construction Hats,,"Bardhan-Quallen, Sudipta",RANDJ,Random House Childrens Books,$18.99 ,$10.22 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2023054441,E,PZ7.B25007 CAU 2025,JUV002050,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,E BARDH,,,,,,,,,,,,,,,
9.78139E+12,1394314450,,32046505,,ChatGPT for Dummies,,"Baker, Pam",WILCM,John Wiley & Sons Inc,$24.99 ,$14.87 ,4/8/2025,,BOOK,Paperback,PAP,2,Edit.2;,,,,,6,QA,COM042000,32725,Ordered,32725,,3/27/2025 18:49,1,0,0,0,,,006 BAK,,,,,,,,,,,,,,,
9.78059E+12,593317602,,32347022,,The Dream Hotel,A Read With Jenna Pick,"Lalami, Laila",RANDO,Random House Inc,$29.00 ,$15.60 ,3/4/2025,,BOOK,Hardcover,HRD,,,,,,2024050170,813/.6,PS3612.A543 D74 2025,FIC019000,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,"request 2012373
F LALAM",,,,,,,,,,,,,,,
9.78198E+12,198212279X,,31917442,,Flesh,,"Szalay, David",SIMON,Simon & Schuster,$28.99 ,$15.60 ,4/1/2025,,BOOK,Hardcover,HRD,,,,,,bl2025044051,823/.92,PR6119.Z35 F54 2025,FIC019000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F SZALA request 2019377,,,,,,,,,,,,,,,
9.78059E+12,593100905,,32014306,,Flirting Lessons,,"Guillory, Jasmine",PENGU,Penguin Group USA,$29.00 ,$15.60 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2024031762,813/.6,PS3607.U48553 F55 2025,FIC049060,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,F GUILL,,,,,,,,,,,,,,,
9.78006E+12,60235152,,2802799,,From Head to Toe,,"Carle, Eric",HARJU,Harpercollins Childrens Books,$19.99 ,$10.75 ,4/1/1997,,BOOK,Hardcover,HRD,,,,,,95053141,613.7/1,GV481 .C38 1997,JUV015000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"replace 148626
E CARLE",,,,,,,,,,,,,,,
9.78167E+12,166807074X,,31917786,,Gambling Man,"The Secret Story of the World's Greatest Disruptor, Masayoshi Son","Barber, Lionel",SIMON,Simon & Schuster,$29.99 ,$16.13 ,1/21/2025,,BOOK,Hardcover,HRD,,,,,,bl2025035709,332.6092,HG172.S625 B37 2025,BIO003000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,332.6 BAR request 2012293,,,,,,,,,,,,,,,
9.78059E+12,593641477,,32014297,,The Geographer's Map to Romance,,"Holton, India",PENGU,Penguin Group USA,$19.00 ,$11.31 ,4/8/2025,NP,BOOK,Paperback,PAP,,,,,,2024047020,823/.92,PR9639.4.H66 G46 2025,FIC027250,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F HOLTO,,,,,,,,,,,,,,,
9.78059E+12,593810015,,32014534,,Getting Ready for First Grade,,"Ahiyya, Vera",RANDJ,Random House Childrens Books,$10.99 ,$10.99 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,bl2025044860,E,PZ7.1.A337 GEF 2025,JUV035000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,E AHIYY,,,,,,,,,,,,,,,
9.78006E+12,63342448,,31965740,,The Griffin Sisters' Greatest Hits,,"Weiner, Jennifer",HARPE,HarperCollins,$30.00 ,$16.14 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2024010343,813/.54,PS3573.E3935 G75 2025,FIC045020,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F WEINE,,,,,,,,,,,,,,,
9.78059E+12,593337727,,32014303,,Happy Land,,"Perkins-Valdez, Dolen",PENGU,Penguin Group USA,$29.00 ,$15.60 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2024029841,813/.6,PS3616.E7484 H37 2025,FIC044000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F PERKI,,,,,,,,,,,,,,,
9.78164E+12,1643264710,,32069520,,How Can I Help?,Saving Nature With Your Yard,"Tallamy, Douglas W.",WORKM,Workman Pub Co,$30.00 ,$16.14 ,4/8/2025,,BOOK,Hardcover,HRD,,,,,,2024010503,635.9/676,SB439 .T276 2025,NAT011000,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,635.9 TAL,,,,,,,,,,,,,,,
9.78059E+12,593875419,,32014529,,The Maid's Secret,,"Prose, Nita",RANDO,Random House Inc,$30.00 ,$16.14 ,4/8/2025,,BOOK,Hardcover,HRD,,,,,,bl2025042765,823/.92,PR9199.4.P7768 M35 2025,FIC022030,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F PROSE,,,,,,,,,,,,,,,
9.79822E+12,,,32014402,,The Maid's Secret,,"Prose, Nita",RANDO,Random House Inc,$32.00 ,$19.04 ,4/8/2025,,BOOK,Paperback,PAP,,Large Print,,,,bl2025044211,823/.92,PR9199.4.P7768 M35 2025,FIC022030,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,LP PROSE,,,,,,,,,,,,,,,
9.78168E+12,1682637336,,31884652,,Mighty,The Story of an Oak Tree Ecosystem,"Cole, Henry",CANWP,Candlewick Pr,$18.99 ,$10.22 ,4/29/2025,NP,BOOK,Hardcover,HRD,,,,,,2024031247,583/.65,QK495.F14 C64 2025,JNF037040,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,J 583 COL,,,,,,,,,,,,,,,
9.78167E+12,1668034034,,31917752,,Murder at Gulls Nest,,"Kidd, Jess",SIMON,Simon & Schuster,$28.99 ,$15.60 ,4/8/2025,,BOOK,Hardcover,HRD,,,,,,2024035695,823/.92,PR6111.I33 M87 2025,FIC022100,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F KIDD,,,,,,,,,,,,,,,
9.78045E+12,452289963,,7588747,,A New Earth,Awakening to Your Life's Purpose,"Tolle, Eckhart",PENGU,Penguin Group USA,$18.00 ,$18.00 ,1/30/2008,,BOOK,Paperback,PAP,,Reprint,,,,bl2006020390,204/.4,BL624 .T635 2006,SEL032000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"replace 138997
204.4 TOL",,,,,,,,,,,,,,,
9.78059E+12,593642287,,31990473,,No Roast for the Weary,,"Coyle, Cleo",PENGU,Penguin Group USA,$29.00 ,$15.60 ,4/1/2025,,BOOK,Hardcover,HRD,,,,,,2024047236,813/.6,PS3603.O94 N67 2025,FIC022130,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F COYLE request 1002240,,,,,,,,,,,,,,,
9.78153E+12,1525831631,,32598591,,The Page Turner,,"Shipman, Viola",HRLQN,Harlequin Books,$30.00 ,$16.14 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,bl2025043888,813/.6,PS3619.H5788 P34 2025,FIC044000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F SHIPM,,,,,,,,,,,,,,,
9.78006E+12,63318342,,32016401,,The Peddler of Puddles,,"Ferry, Beth",HARJU,Harpercollins Childrens Books,$19.99 ,$10.75 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2023049280,E,PZ7.1.F47 PE 2025,JUV039060,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,E FERRY,,,,,,,,,,,,,,,
9.78148E+12,1481463373,,17789120,,Rainbow,,"Bauer, Marion Dane",SIMJU,Simon & Schuster,$17.99 ,$9.68 ,5/17/2016,,BOOK,Hardcover,HRD,,,,,,2015046081,551.56/7,QC976.R2 B38 2016,JNF045000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"replace 152350
BR BAUER",,,,,,,,,,,,,,,
9.78132E+12,1324092637,,31885779,,The Social Genome,The New Science of Nature and Nurture,"Conley, Dalton",NORTO,W W Norton & Co Inc,$29.99 ,$16.13 ,3/18/2025,,BOOK,Hardcover,HRD,,,,,,bl2025041780,576.5,QH438.7 .C657 2025,SCI029000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,576.5 CON,,,,,,,,,,,,,,,
9.78006E+12,63411660,,32010053,,Summer in the City,,"Aster, Alex",HARPE,HarperCollins,$28.00 ,$15.06 ,3/25/2025,,BOOK,Hardcover,HRD,,,,,,bl2025043566,813./6,PS3601.S793 S86 2025,FIC027250,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F ASTER  request 2004042,,,,,,,,,,,,,,,
9.7814E+12,140034252X,,30919492,,The Total Money Makeover,A Proven Plan for Financial Peace,"Ramsey, Dave",HRPCR,Harpercollins Christian Pub,$29.99 ,$16.13 ,5/14/2024,,BOOK,Hardcover,HRD,,Expanded;Updated,,,,bl2024009021,332.024/02,HG179 .R31563 2024,BUS050030,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"replace 139529 (new edition)
332.024 RAM",,,,,,,,,,,,,,,
9.78198E+12,1982116293,,25984370,,Who Gets in and Why,A Year Inside College Admissions,"Selingo, Jeffrey",SIMON,Simon & Schuster,$30.00 ,$30.00 ,9/15/2020,,BOOK,Hardcover,HRD,,,,,,bl2020018371,378.1/610973,LB2351.2 .S438 2020,EDU001030,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"replace 181284
372.1 SEL",,,,,,,,,,,,,,,
